date, pm25, o3, no2, co
2020/10/1, 16, , , 
2020/10/2, 18, , , 
2020/10/3, 17, , , 
2020/10/4, 20, , , 
2020/10/5, 24, , , 
2020/10/6, 23, , , 
2020/10/7, 25, , , 
2020/10/8, 11, , , 
2020/10/9, 23, , , 
2020/10/10, 27, , , 
2020/10/11, 36, , , 
2020/10/12, 15, , , 
2020/10/13, 8, , , 
2020/10/14, 33, , , 
2020/10/15, 33, , , 
2020/10/16, 19, , , 
2020/10/17, 25, , , 
2020/10/18, 37, , , 
2020/10/19, 25, , , 
2020/10/20, 15, , , 
2020/10/21, 13, , , 
2020/10/22, 37, , , 
2020/10/23, 11, , , 
2020/10/24, 18, , , 
2020/10/28, 29, , , 
2020/10/29, 10, , , 
2020/10/30, 19, , , 
2020/10/31, 25, , , 
2020/11/1, 11, , , 
2020/11/2, 10, , , 
2020/11/3, 28, , , 
2020/11/4, 35, , , 
2020/11/5, 34, , , 
2020/11/6, 45, , , 
2020/11/7, 65, , , 
2020/11/8, 75, , , 
2020/11/9, 78, , , 
2020/11/10, 37, , , 
2020/11/11, 14, , , 
2020/11/12, 14, , , 
2020/11/13, 16, , , 
2020/11/14, 27, , , 
2020/11/15, 24, , , 
2020/11/16, 20, , , 
2020/11/17, 24, , , 
2020/11/18, 17, , , 
2020/11/19, 19, , , 
2020/11/20, 36, , , 
2020/11/21, 50, , , 
2020/11/22, 21, , , 
2020/11/23, 24, , , 
2020/11/24, 26, , , 
2020/11/25, 26, , , 
2020/11/26, 29, , , 
2020/11/27, 37, , , 
2020/11/28, 29, , , 
2020/11/29, 36, , , 
2020/11/30, 29, , , 
2020/12/1, 21, , , 
2020/12/2, 22, , , 
2020/12/3, 30, , , 
2020/12/4, 32, , , 
2020/12/5, 22, , , 
2020/12/6, 14, , , 
2020/12/7, 22, , , 
2020/12/8, 20, , , 
2020/12/9, 41, , , 
2020/12/10, 40, , , 
2020/12/11, 56, , , 
2020/12/12, 54, , , 
2020/12/13, 51, , , 
2020/12/14, 31, , , 
2020/12/15, 27, , , 
2020/12/16, 38, , , 
2020/12/17, 33, , , 
2020/12/18, 42, , , 
2020/12/19, 53, , , 
2020/12/20, 50, , , 
2020/12/21, 62, , , 
2020/12/22, 50, , , 
2020/12/23, 30, , , 
2020/12/24, 40, , , 
2020/12/25, 35, , , 
2020/12/26, 37, , , 
2020/12/27, 45, , , 
2020/12/28, 41, , , 
2020/12/29, 30, , , 
2020/12/30, 26, , , 
2020/12/31, 41, , , 
2021/1/1, 44, , , 
2021/1/2, 33, , , 
2021/1/3, 39, , , 
2020/7/1, 29, 48, 11, 2
2020/7/2, 29, 46, 8, 2
2020/7/3, 45, 34, 3, 1
2020/7/4, 60, 55, 6, 2
2020/7/5, 58, 57, 14, 2
2020/7/6, 47, 35, 8, 1
2020/7/7, 18, 27, 4, 1
2020/7/8, 22, 22, 5, 1
2020/7/9, 18, 20, 6, 1
2020/7/10, 11, 29, 4, 1
2020/7/11, 35, 39, 3, 1
2020/7/12, 21, 45, 10, 1
2020/7/13, 14, 30, 12, 1
2020/7/14, 12, 35, 8, 1
2020/7/15, 18, 22, 3, 1
2020/7/16, 7, , , 
2020/7/17, 26, , , 
2020/7/18, 44, , , 
2020/7/19, 51, , , 
2020/7/20, 38, , , 
2020/7/21, 26, , , 
2020/7/22, 51, , , 
2020/7/23, 30, , , 
2020/7/24, 19, , , 
2020/7/25, 29, , , 
2020/7/26, 22, , , 
2020/7/27, 45, , , 
2020/7/28, 33, , , 
2020/7/29, 26, , , 
2020/7/30, 37, , , 
2020/7/31, 25, , , 
2020/8/1, 38, , , 
2020/8/2, 33, , , 
2020/8/3, 30, , , 
2020/8/4, 25, , , 
2020/8/5, 21, , , 
2020/8/6, 41, , , 
2020/8/7, 35, , , 
2020/8/8, 18, , , 
2020/8/9, 28, , , 
2020/8/10, 47, , , 
2020/8/11, 41, , , 
2020/8/12, 46, , , 
2020/8/13, 44, , , 
2020/8/14, 26, , , 
2020/8/15, 24, , , 
2020/8/16, 10, , , 
2020/8/17, 21, , , 
2020/8/18, 25, , , 
2020/8/19, 30, , , 
2020/8/20, 13, , , 
2020/8/21, 31, , , 
2020/8/22, 35, , , 
2020/8/23, 28, , , 
2020/8/24, 22, , , 
2020/8/25, 34, , , 
2020/8/26, 16, , , 
2020/8/27, 36, , , 
2020/8/28, 35, , , 
2020/8/29, 17, , , 
2020/8/30, 12, , , 
2020/8/31, 15, , , 
2020/9/1, 15, , , 
2020/9/2, 15, , , 
2020/9/3, 26, , , 
2020/9/4, 20, , , 
