date, pm25, pm10, o3, no2, so2, co
2020/10/1, 43, 19, 44, 14, 1, 2
2020/10/2, 51, 22, 53, 14, 1, 2
2020/10/3, 53, 26, 38, 9, 1, 3
2020/10/4, 61, 31, 25, 19, 1, 5
2020/10/5, 66, 10, 30, 12, 1, 3
2020/10/6, 29, 13, 27, 16, 1, 3
2020/10/7, 36, 6, 27, 14, , 3
2020/10/8, 14, 6, 24, 12, , 3
2020/10/9, 14, 3, 28, 9, , 3
2020/10/10, 8, 5, 28, 6, , 3
2020/10/11, 11, 7, 26, 15, 1, 4
2020/10/12, 15, 12, 26, 14, 1, 4
2020/10/13, 28, 13, 33, 19, 1, 3
2020/10/14, 37, 12, 20, 16, 1, 3
2020/10/15, 33, 9, 30, 15, , 3
2020/10/16, 28, 11, 21, 14, 1, 3
2020/10/17, 31, 11, 29, 11, 1, 4
2020/10/18, 34, 10, 13, 16, , 4
2020/10/19, 30, 12, 32, 19, , 4
2020/10/20, 35, 13, 33, 19, 1, 3
2020/10/21, 41, 16, 26, 18, 1, 
2020/10/22, 48, 13, 30, 17, , 
2020/10/23, 33, 6, 32, 10, 1, 
2020/10/24, 21, 7, 35, 7, 1, 
2020/10/25, 23, 11, 32, 14, 1, 1
2020/10/26, 37, 11, 28, 18, , 1
2020/10/27, 36, 16, 21, 21, 1, 1
2020/10/28, 50, 15, 32, 14, 1, 1
2020/10/29, 45, 7, 28, 11, 1, 
2020/10/30, 21, 9, 29, 17, 1, 2
2020/10/31, 28, 17, 29, 15, 1, 4
2020/11/1, 52, 27, 19, 25, 1, 4
2020/11/2, 74, 19, 18, 16, 1, 3
2020/11/3, 57, 6, 26, 13, 1, 2
2020/11/4, 20, 11, 27, 22, 1, 5
2020/11/5, 35, 18, 12, 26, 1, 5
2020/11/6, 53, 27, 19, 23, 1, 6
2020/11/7, 69, 23, 36, 13, 1, 4
2020/11/8, 59, 8, 26, 12, 1, 3
2020/11/9, 24, 7, 23, 17, 3, 4
2020/11/10, 23, 6, 27, 11, 1, 3
2020/11/11, 19, 12, 20, 18, , 3
2020/11/12, 38, 17, 23, 18, 1, 2
2020/11/13, 49, 16, 29, 18, 1, 2
2020/11/14, 44, 20, 35, 14, 1, 2
2020/11/15, 52, 24, 28, 24, 1, 3
2020/11/16, 61, 26, 35, 24, 1, 3
2020/11/17, 63, 38, 29, 24, 1, 3
2020/11/18, 82, 37, 34, 17, 1, 4
2020/11/19, 73, 16, 29, 5, 1, 3
2020/11/20, 31, 7, 24, 8, 1, 3
2020/11/21, 14, 11, 26, 8, 1, 3
2020/11/22, 28, 9, 29, 10, , 3
2020/11/23, 26, 8, 25, 14, , 3
2020/11/24, 24, 14, 19, 17, , 3
2020/11/25, 47, 22, 15, 23, 1, 5
2020/11/26, 61, 13, 20, 17, 1, 3
2020/11/27, 42, 9, 25, 11, 1, 3
2020/11/28, 27, 9, 22, 14, 1, 3
2020/11/29, 29, 17, 18, 23, 1, 3
2020/11/30, 52, 13, 21, 24, 1, 3
2020/12/1, 41, 14, 15, 20, 1, 3
2020/12/2, 46, 26, 14, 21, 1, 5
2020/12/3, 69, 13, 26, 19, 4, 3
2020/12/4, 33, 14, 12, 21, 3, 3
2020/12/5, 44, 19, 21, 20, 1, 4
2020/12/6, 53, 21, 18, 29, 1, 5
2020/12/7, 58, 12, 25, 20, 1, 4
2020/12/8, 36, 9, 18, 24, 1, 3
2020/12/9, 30, 21, 19, 25, 1, 6
2020/12/10, 65, 25, 12, 31, 2, 6
2020/12/11, 67, 28, 22, 24, 1, 5
2020/12/12, 76, 13, 25, 16, 1, 5
2020/12/13, 39, 8, 22, 17, 1, 4
2020/12/14, 26, 5, 22, 14, 1, 2
2020/12/15, 18, 6, 21, 21, 1, 3
2020/12/16, 23, 6, 22, 20, 1, 3
2020/12/17, 22, 12, 15, 27, 1, 4
2020/12/18, 40, 6, 24, 17, 1, 3
2020/12/19, 21, 5, 28, 12, 1, 2
2020/12/20, 18, 9, 23, 28, 1, 
2020/12/21, 30, 16, 16, 34, 1, 
2020/12/22, 53, 19, 20, 37, 2, 
2020/12/23, 59, 26, 3, 43, 1, 
2020/12/24, 76, 15, 24, 25, 1, 
2020/12/25, 45, 12, 19, 24, 1, 
2020/12/26, 38, 11, 21, 21, 1, 
2020/12/27, 45, 15, 15, 23, , 
2020/12/28, 55, 20, 15, 30, 1, 
2020/12/29, 68, 21, 25, 18, , 
2020/12/30, 64, 3, 26, 9, , 
2020/12/31, 13, 8, 27, 18, , 
2021/1/1, 36, 7, 22, 17, , 
2021/1/2, 34, 6, 26, 16, , 
2021/1/3, 25, , , , , 
2020/7/1, 23, 16, 42, 13, 1, 2
2020/7/2, 41, 17, 37, 18, 1, 3
2020/7/3, 43, 12, 19, 9, , 2
2020/7/4, 18, 18, 42, 13, 1, 3
2020/7/5, 39, 11, 13, 7, , 2
2020/7/6, 13, 18, 8, 5, 1, 1
2020/7/7, 29, 17, 31, 9, 1, 2
2020/7/8, 24, 10, 13, 13, , 2
2020/7/9, 13, 16, 7, 11, 1, 2
2020/7/10, 27, 18, 14, 3, , 
