date, pm25, pm10, o3, no2, so2, co, aqi
2020/10/1, 114, 48, 25, 16, 2, 4, 
2020/10/2, 86, 40, 30, 22, 2, 2, 
2020/10/3, 62, 29, 25, 11, 1, 2, 
2020/10/4, 33, 28, 26, 23, 2, 3, 
2020/10/5, 46, 54, 28, 29, 3, 2, 
2020/10/6, 77, 57, 34, 22, 5, 3, 
2020/10/7, 94, 85, 53, 35, 15, 5, 
2020/10/8, 161, 77, 69, 27, 12, 4, 
2020/10/9, 147, 87, 63, 29, 5, 3, 
2020/10/10, 156, 76, 42, 22, 5, 3, 
2020/10/11, 124, 16, 26, 15, 1, 1, 29
2020/10/12, 30, 50, 32, 25, 8, 4, 53
2020/10/13, 73, 31, 25, 15, 1, 2, 35
2020/10/14, 38, 52, 32, 20, 2, 1, 67
2020/10/15, 100, 49, 31, 20, 2, 2, 70
2020/10/16, 88, 45, 30, 25, 6, 3, 49
2020/10/17, 70, 80, 16, 30, 5, 4, 116
2020/10/18, 156, 78, 55, 25, 5, 5, 94
2020/10/19, 144, 83, 45, 22, 5, 5, 132
2020/10/20, 157, 76, 29, 17, 2, 2, 
2020/10/21, 99, 56, 26, 21, 3, 3, 48
2020/10/22, 55, 24, 28, 17, 1, 3, 24
2020/10/23, 37, 49, 33, 25, 4, 3, 52
2020/10/24, 71, 75, 43, 22, 6, 4, 80
2020/10/25, 125, 88, 69, 24, 8, 7, 115
2020/10/26, 159, 50, 18, 19, 2, , 56
2020/10/27, 42, 43, 21, 26, 5, 4, 39
2020/10/28, 66, 59, 24, 26, 8, 5, 
2020/10/29, 86, 62, 40, 27, 5, 6, 
2020/10/30, 111, 116, 40, 32, 8, 8, 
2020/10/31, 168, 98, 22, 31, 4, 6, 
2020/11/1, 117, 59, 21, 16, 7, 2, 
2020/11/2, 47, 50, 22, 22, 2, 3, 
2020/11/3, 51, 77, 24, 24, 9, 5, 
2020/11/4, 92, 70, 20, 22, 6, 3, 
2020/11/5, 115, 84, 24, 26, 4, 3, 87
2020/11/6, 110, 91, 24, 24, 4, 5, 95
2020/11/7, 94, 26, 24, 10, 2, 1, 28
2020/11/8, 32, 46, 22, 19, 4, 2, 47
2020/11/9, 58, 84, 32, 25, 12, 6, 90
2020/11/10, 136, 101, 67, 26, 12, 7, 123
2020/11/11, 157, 105, 35, 30, 6, 7, 
2020/11/12, 163, 72, 24, 27, 4, 5, 
2020/11/13, 99, 84, 25, 27, 10, 7, 
2020/11/14, 118, 119, 39, 31, 6, 10, 
2020/11/15, 185, 103, 36, 21, 4, 9, 
2020/11/16, 172, 111, 18, 22, 3, 9, 
2020/11/17, 183, 32, 23, 12, 1, 5, 
2020/11/18, 70, 25, 17, 13, 1, 3, 
2020/11/19, 43, 31, 21, 15, 2, 5, 
2020/11/20, 46, 36, 7, 23, 1, 8, 
2020/11/21, 73, 32, 20, 14, 1, 4, 
2020/11/22, 59, 39, 15, 21, 2, 4, 
2020/11/23, 64, 80, 13, 24, 6, 9, 
2020/11/24, 146, 95, 5, 26, 4, 12, 
2020/11/25, 154, 42, 16, 19, 3, 4, 
2020/11/26, 47, 42, 22, 17, 3, 3, 
2020/11/27, 56, 28, 19, 15, 2, 2, 
2020/11/28, 44, 58, 12, 23, 7, 7, 
2020/11/29, 96, 47, 17, 21, 5, 5, 
2020/11/30, 79, 52, 7, 28, 6, 6, 
2020/12/1, 86, 67, 10, 23, 4, 8, 
2020/12/2, 131, 41, 21, 18, 3, 4, 
2020/12/3, 60, 61, 17, 27, 7, 7, 
2020/12/4, 117, 108, 12, 30, 8, 12, 
2020/12/5, 178, 121, 10, 31, 8, 11, 
