측정일시,측정소명,이산화질소농도(ppm),오존농도(ppm),이산화탄소농도(ppm),아황산가스(ppm),미세먼지(㎍/㎥),초미세먼지(㎍/㎥)
20190101,강남구,0.028,0.012,0.6,0.005,37,31
20190101,강남대로,0.041,0.01,0.9,0.004,40,28
20190101,강동구,0.04,0.01,0.8,0.005,43,32
20190101,강변북로,0.048,0.009,0.5,0.005,45,27
20190101,강북구,0.026,0.019,0.6,0.003,46,29
20190101,강서구,0.03,0.017,0.6,0.005,47,25
20190101,공항대로,0.034,0.012,0.7,0.005,44,29
20190101,관악구,0.036,0.016,0.5,0.005,41,29
20190101,관악산,0.011,0.024,,0.004,31,18
20190101,광진구,0.036,0.01,1.1,0.004,37,26
20190101,구로구,0.028,0.016,0.4,0.006,34,18
20190101,궁동,0.03,0.03,0.6,0.004,30,22
20190101,금천구,0.034,0.014,0.6,0.004,34,25
20190101,남산,0.032,0.019,1.1,0.005,37,22
20190101,노원구,0.033,0.013,0.7,0.005,44,32
20190101,도봉구,0.026,0.018,1.2,0.004,36,25
20190101,도산대로,0.026,0.013,1.1,0.004,40,23
20190101,동대문구,0.033,0.015,0.8,0.007,37,31
20190101,동작구,0.034,0.015,0.5,0.003,43,28
20190101,동작대로,0.023,0.01,0.6,0.007,44,24
20190101,마포구,0.022,0.014,0.5,0.003,42,18
20190101,북한산,0.007,0.029,0.5,0.004,30,19
20190101,서대문구,0.028,0.016,1,0.005,38,27
20190101,서초구,0.032,0.015,0.4,0.004,37,20
20190101,성동구,0.033,0.015,0.6,0.003,46,29
20190101,성북구,0.038,0.014,0.8,0.004,38,21
20190101,세곡,0.028,0.014,2.3,0.005,39,24
20190101,송파구,0.042,0.011,0.8,0.004,44,28
20190101,시흥대로,0.033,0.016,0.6,0.004,32,22
20190101,신촌로,0.041,0.01,0.7,0.005,35,25
20190101,양천구,0.033,0.014,0.6,0.002,46,29
20190101,영등포구,0.023,0.015,0.7,0.004,40,28
20190101,영등포로,0.039,0.011,0.7,0.004,34,19
20190101,용산구,0.033,0.013,0.6,0.003,31,25
20190101,은평구,0.024,0.019,0.9,0.005,34,23
20190101,정릉로,0.055,0.01,0.7,0.005,43,31
20190101,종로,0.031,0.016,0.6,0.003,35,22
20190101,종로구,0.033,0.016,0.7,0.004,35,22
20190101,중구,0.032,0.019,0.6,0.003,38,26
20190101,중랑구,0.032,0.012,0.7,0.007,36,26
20190101,천호대로,0.045,0.011,0.9,0.004,40,23
20190101,청계천로,0.035,0.014,0.7,0.004,30,23
20190101,한강대로,0.048,0.015,0.7,0.004,39,27
20190101,행주,0.025,0.018,1,0.004,49,26
20190101,홍릉로,0.026,0.011,0.6,0.005,45,31
20190101,화랑로,0.027,0.01,0.7,0.004,37,25
20190102,강남구,0.032,0.01,0.6,0.006,31,25
20190102,강남대로,0.054,0.007,1,0.005,41,22
20190102,강동구,0.04,0.009,0.6,0.005,34,25
20190102,강변북로,0.051,0.007,0.5,0.005,40,23
20190102,강북구,0.029,0.017,0.6,0.003,36,23
20190102,강서구,0.036,0.015,0.6,0.006,41,23
20190102,공항대로,0.05,0.007,0.8,0.006,48,27
20190102,관악구,0.045,0.013,0.5,0.006,36,25
20190102,관악산,0.018,0.016,,0.004,31,18
20190102,광진구,0.039,0.007,1.1,0.004,31,20
20190102,구로구,0.034,0.014,0.4,0.006,32,15
20190102,궁동,0.047,0.026,0.9,0.005,35,23
20190102,금천구,0.041,0.011,0.6,0.005,33,24
20190102,남산,0.028,0.021,1.1,0.005,31,18
20190102,노원구,0.037,0.011,0.7,0.006,36,26
20190102,도봉구,0.027,0.017,1.1,0.004,29,21
20190102,도산대로,0.03,0.011,1.2,0.004,34,17
20190102,동대문구,0.033,0.014,0.7,0.007,30,24
20190102,동작구,0.041,0.011,0.6,0.004,34,23
20190102,동작대로,0.028,0.007,0.7,0.008,38,18
20190102,마포구,0.029,0.009,0.6,0.003,38,18
20190102,북한산,0.008,0.027,0.5,0.004,25,17
20190102,서대문구,0.03,0.013,1,0.005,32,22
20190102,서초구,0.035,0.014,0.3,0.004,26,11
20190102,성동구,0.038,0.011,0.6,0.003,39,24
